rank,title,rating,show_type,episodes,run_time,member_count
46a,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.73,TV,12,Jan 2017 - Mar 2017,181151
47a,Mob Psycho 100 III,8.72,TV,12,Oct 2022 - Dec 2022,579621
48a,Shiguang Dailiren,8.72,ONA,11,Apr 2021 - Jul 2021,301986
49a,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,OVA,4,Feb 1999 - Sep 1999,269337
50a,86 Part 2,8.71,TV,12,Oct 2021 - Mar 2022,437519
51a,Ashita no Joe 2,8.71,TV,47,Oct 1980 - Aug 1981,48036
52a,Code Geass: Hangyaku no Lelouch,8.70,TV,25,Oct 2006 - Jul 2007,2159531
53a,Mushishi Zoku Shou,8.70,TV,10,Apr 2014 - Jun 2014,289191
54a,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.70,TV,12,Oct 2021 - Dec 2021,797528
55a,Odd Taxi,8.69,TV,13,Apr 2021 - Jun 2021,393040
56a,One Piece,8.69,TV,?,Oct 1999 -,2183719
57a,Great Teacher Onizuka,8.69,TV,43,Jun 1999 - Sep 2000,791202
58a,The First Slam Dunk,8.69,Movie,1,Dec 2022 - Dec 2022,20621
59a,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.68,Movie,1,Aug 2020 - Aug 2020,325641
60a,Jujutsu Kaisen 2nd Season,8.67,TV,23,Jul 2023 -,403300
61a,Mononoke Hime,8.67,Movie,1,Jul 1997 - Jul 1997,1195344
62a,Violet Evergarden,8.67,TV,13,Jan 2018 - Apr 2018,1685079
63a,Hajime no Ippo: New Challenger,8.66,TV,26,Jan 2009 - Jul 2009,269141
64a,Howl no Ugoku Shiro,8.66,Movie,1,Nov 2004 - Nov 2004,1260234
65a,Made in Abyss,8.66,TV,13,Jul 2017 - Sep 2017,1301065
66a,Made in Abyss: Retsujitsu no Ougonkyou,8.66,TV,12,Jul 2022 - Sep 2022,389724
67a,Mushishi,8.66,TV,26,Oct 2005 - Jun 2006,796587
68a,Mushoku Tensei II: Isekai Ittara Honki Dasu,8.66,TV,12,Jul 2023 -,262406
69a,Shigatsu wa Kimi no Uso,8.65,TV,22,Oct 2014 - Mar 2015,2119878
70a,Natsume Yuujinchou Shi,8.64,TV,13,Jan 2012 - Mar 2012,237059
71a,Jujutsu Kaisen,8.64,TV,24,Oct 2020 - Mar 2021,2273856
72a,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.64,TV,12,Apr 2020 - Jun 2020,1265462
73a,Haikyuu!! Second Season,8.63,TV,25,Oct 2015 - Mar 2016,1365973
74a,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.63,ONA,14,Dec 2022 - Dec 2022,154174
75a,Tengen Toppa Gurren Lagann,8.63,TV,27,Apr 2007 - Sep 2007,1552554
76a,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.63,Movie,1,Jan 2020 - Jan 2020,426299
77a,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.62,Movie,1,Oct 2020 - Oct 2020,1414621
78a,Natsume Yuujinchou Roku,8.62,TV,11,Apr 2017 - Jun 2017,178522
79a,Ping Pong the Animation,8.62,TV,11,Apr 2014 - Jun 2014,376202
80a,Shingeki no Kyojin Season 3,8.62,TV,12,Jul 2018 - Oct 2018,2223912
81a,Death Note,8.62,TV,37,Oct 2006 - Jun 2007,3728067
82a,Cyberpunk: Edgerunners,8.61,ONA,10,Sep 2022 - Sep 2022,595022
83a,Spy x Family,8.61,TV,12,Apr 2022 - Jun 2022,1365260
84a,Suzumiya Haruhi no Shoushitsu,8.61,Movie,1,Feb 2010 - Feb 2010,591643
85a,Evangelion: 3.0+1.0 Thrice Upon a Time,8.60,Movie,1,Mar 2021 - Mar 2021,349033
86a,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.60,Movie,1,Jun 2019 - Jun 2019,669115
87a,Mushishi Zoku Shou: Suzu no Shizuku,8.59,Movie,1,May 2015 - May 2015,123562
88a,Hajime no Ippo: Rising,8.59,TV,25,Oct 2013 - Mar 2014,243049
89a,Chainsaw Man,8.58,TV,12,Oct 2022 - Dec 2022,1294230
90a,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,TV,39,Oct 2018 - Jul 2019,963479
91a,Ookami Kodomo no Ame to Yuki,8.58,Movie,1,Jul 2012 - Jul 2012,786079
92a,Kenpuu Denki Berserk,8.57,TV,25,Oct 1997 - Apr 1998,612291
93a,Kizumonogatari II: Nekketsu-hen,8.57,Movie,1,Aug 2016 - Aug 2016,426773
94a,Natsume Yuujinchou Go,8.57,TV,11,Oct 2016 - Dec 2016,177763
95a,Natsume Yuujinchou San,8.57,TV,13,Jul 2011 - Sep 2011,244258
96a,Shouwa Genroku Rakugo Shinjuu,8.57,TV,13,Jan 2016 - Apr 2016,282278
97a,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,Movie,1,Apr 2009 - Apr 2009,207809
98a,Yojouhan Shinwa Taikei,8.56,TV,11,Apr 2010 - Jul 2010,431103
99a,Kimi no Suizou wo Tabetai,8.56,Movie,1,Sep 2018 - Sep 2018,901464
100a,Mo Dao Zu Shi: Wanjie Pian,8.55,ONA,12,Aug 2021 - Oct 2021,73128
101a,Neon Genesis Evangelion: The End of Evangelion,8.55,Movie,1,Jul 1997 - Jul 1997,883900
102a,Zoku Natsume Yuujinchou,8.55,TV,13,Jan 2009 - Mar 2009,240472
103a,Fate/Zero 2nd Season,8.55,TV,12,Apr 2012 - Jun 2012,1078882
104a,Fruits Basket 2nd Season,8.55,TV,25,Apr 2020 - Sep 2020,473760
105a,Haikyuu!! To the Top Part 2,8.54,TV,12,Oct 2020 - Dec 2020,761289
106a,Nana,8.54,TV,47,Apr 2006 - Mar 2007,623072
107a,Ousama Ranking,8.54,TV,23,Oct 2021 - Mar 2022,583723
108a,Perfect Blue,8.54,Movie,1,Feb 1998 - Feb 1998,658815
109a,Shingeki no Kyojin,8.54,TV,25,Apr 2013 - Sep 2013,3759598
110a,Shoujo☆Kageki Revue Starlight Movie,8.54,Movie,1,Jun 2021 - Jun 2021,16486
111a,Slam Dunk,8.54,TV,101,Oct 1993 - Mar 1996,284693
112a,Mushishi: Hihamukage,8.53,Special,1,Jan 2014 - Jan 2014,133976
113a,Steins;Gate 0,8.53,TV,23,Apr 2018 - Sep 2018,833482
114a,Bakuman. 3rd Season,8.53,TV,25,Oct 2012 - Mar 2013,321938
115a,Yuru Camp△ Season 2,8.53,TV,13,Jan 2021 - Apr 2021,207599
116a,Kara no Kyoukai Movie 5: Mujun Rasen,8.52,Movie,1,Aug 2008 - Aug 2008,231564
117a,Karakai Jouzu no Takagi-san Movie,8.52,Movie,1,Jun 2022 - Jun 2022,60781
