rank,title,rating,age_rating,run_time,year_range,votes
154c,The Red Turtle,7.5,PG,80 min,(2016),36879
155c,Buddy Daddies,8.0,TV-14,24 min,(2023),1231
156c,"No Game, No Life",7.6,TV-14,23 min,(2014),17193
157c,Mieruko-chan,7.2,TV-14,24 min,(2021– ),2100
158c,Romantic Killer,7.6,TV-14,24 min,(2022),1963
159c,Harem in the Labyrinth of Another World,6.3,TV-MA,24 min,(2022– ),1101
160c,The Angel Next Door Spoils Me Rotten,7.4,TV-14,,(2023– ),1011
161c,Vermeil in Gold: A Desperate Magician Barges Into the Magical World Alongside the Strongest Calamity,6.5,TV-MA,24 min,(2022– ),1247
162c,Toradora!,8.0,TV-14,24 min,(2008–2009),17239
163c,"Why the Hell are You Here, Teacher!?",6.3,TV-MA,12 min,(2019),1765
164c,Date a Live,6.9,TV-14,25 min,(2013– ),3617
165c,Yuri!!! On Ice,8.3,TV-14,20 min,(2016),9284
166c,Monster Musume: Everyday Life with Monster Girls,6.6,TV-MA,23 min,(2015– ),2946
167c,Welcome to the N.H.K.,8.3,TV-MA,24 min,(2006),7390
168c,When They Cry,7.8,TV-MA,24 min,(2006),6141
169c,Lupin III: The Castle of Cagliostro,7.6,,102 min,(1979),31930
170c,ReLIFE,7.8,TV-14,24 min,(2016–2018),5696
171c,Evangelion: 1.0 You Are (Not) Alone,7.6,PG-13,98 min,(2007),25942
172c,Inuyashiki,7.7,Not Rated,24 min,(2017),4632
173c,Kimi ni Todoke: From Me to You,7.8,TV-PG,24 min,(2009–2011),4567
174c,The Reincarnation of the Strongest Exorcist in Another World,7.1,TV-14,23 min,(2023),647
175c,Barefoot Gen,8.0,TV-PG,83 min,(1983),8421
176c,"More Than a Married Couple, But Not Lovers.",7.4,,24 min,(2022– ),1433
177c,Lupin III: The First,6.9,Not Rated,93 min,(2019),3447
178c,Spice and Wolf,7.8,TV-14,24 min,(2008–2009),4754
179c,Grand Blue,7.8,Not Rated,24 min,(2018),3695
180c,Summer Wars,7.4,PG,114 min,(2009),30808
181c,SK8 the Infinity,8.1,TV-14,,(2021– ),4021
182c,Wonder Egg Priority,7.4,TV-MA,23 min,(2021– ),3580
183c,Metropolis,7.2,PG-13,108 min,(2001),22067
184c,Maquia: When the Promised Flower Blooms,7.4,Not Rated,115 min,(2018),7458
185c,Nisekoi,7.2,TV-PG,25 min,(2014–2016),3852
186c,"Welcome to Demon-School, Iruma-kun",7.7,TV-14,23 min,(2019– ),2024
187c,Kiss x sis,6.0,TV-MA,24 min,(2010),2215
188c,Sacrificial Princess & the King of Beasts,7.9,TV-14,23 min,(2023– ),80
189c,Yasuke,6.2,TV-MA,30 min,(2021– ),5731
190c,Mirai,7.0,PG,98 min,(2018),17111
191c,Kubo Won't Let Me Be Invisible,7.1,TV-14,24 min,(2023– ),379
192c,Boruto: Naruto The Movie,7.8,PG,95 min,(2015),11465
193c,Neo Tokyo,7.0,,50 min,(1987),3982
194c,The Boy and the Beast,7.6,PG-13,119 min,(2015),25555
195c,Jin-Roh: The Wolf Brigade,7.3,R,102 min,(1999),17795
196c,Made in Abyss: Dawn of the Deep Soul,8.0,TV-MA,113 min,(2020),4777
197c,To the Forest of Firefly Lights,7.8,,45 min,(2011),20130
198c,Aggretsuko,8.0,TV-14,15 min,(2018–2023),7052
199c,Pengin haiwei,7.1,Not Rated,117 min,(2018),3470
200c,Ghost in the Shell 2: Innocence,7.4,PG-13,100 min,(2004),39447
201c,Spriggan,6.8,TV-MA,45 min,(2022– ),1335
202c,Captain Tsubasa,8.2,TV-G,22 min,(2018–2019),1812
203c,Haganai: I Don't Have Many Friends,7.0,TV-MA,25 min,(2011– ),2540
204c,Danganronpa: The Animation,6.8,TV-14,25 min,(2013),2905
205c,Space Dandy,8.1,TV-14,24 min,(2014),4371
206c,Knights of the Zodiac: Saint Seiya,4.6,TV-14,24 min,(2019–2022),2104
207c,Battle Angel,7.2,Not Rated,54 min,(1993),5626
208c,School Days,5.9,TV-14,,(2007),2714
209c,Resident Evil: Degeneration,6.4,R,98 min,(2008),32272
210c,My Life as Inukai-san's Dog,4.3,TV-MA,,(2023– ),289
211c,Shimoneta: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,7.0,TV-MA,22 min,(2015– ),2785
212c,Hajimete No Gal,6.1,TV-MA,24 min,(2017– ),1960
213c,Mary and the Witch's Flower,6.8,PG,103 min,(2017),15263
214c,To LOVE-Ru,6.4,TV-14,24 min,(2008–2010),1496
215c,In This Corner (and Other Corners) of the World,7.8,PG-13,129 min,(2016),11793
216c,Durarara!!,7.8,TV-14,24 min,(2010),7588
217c,Aesthetica of a Rogue Hero,6.9,TV-MA,,(2012),1895
218c,Stitch!,4.5,TV-Y7,,(2008–2015),319
219c,Bakugan Battle Brawlers,5.6,TV-Y7,22 min,(2007–2011),3157
220c,Yashahime: Princess Half-Demon,7.1,TV-14,,(2020– ),1147
221c,Ghost in the Shell SAC_2045,6.4,TV-MA,25 min,(2020– ),2781
222c,And You Thought There Is Never a Girl Online?,6.4,TV-MA,24 min,(2016),1395
223c,The Place Promised in Our Early Days,6.9,TV-PG,90 min,(2004),14686
224c,Heaven's Lost Property,7.2,TV-MA,,(2009–2010),1982
225c,Wise Man's Grandchild,6.8,TV-14,24 min,(2019– ),2694
226c,White Snake,7.0,,99 min,(2019),4865
227c,Saekano: How to Raise a Boring Girlfriend,7.0,TV-14,24 min,(2015–2017),1434
228c,Tekkonkinkreet,7.5,R,111 min,(2006),14115
229c,My Hero Academia: Two Heroes,7.3,PG-13,96 min,(2018),11616
230c,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,7.8,Not Rated,68 min,(2003),15169
231c,My Hero Academia: Heroes Rising,7.8,PG-13,104 min,(2019),9030
232c,Silver Fang,8.9,,25 min,(1986),3022
233c,A Certain Scientific Railgun,7.5,TV-14,24 min,(2009– ),1738
234c,Full Metal Panic!,7.6,TV-14,24 min,(2002–2006),5739
235c,"The Night Is Short, Walk on Girl",7.5,PG-13,92 min,(2017),5794
236c,Rosario + Vampire,6.9,TV-14,25 min,(2008),3442
237c,Love Flops,6.1,,,(2022– ),337
238c,Steamboy,6.8,PG-13,126 min,(2004),18249
239c,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,7.8,Not Rated,90 min,(2019),4703
240c,Karakai Jouzu no Takagi-san,7.7,TV-PG,23 min,(2018– ),2574
241c,Kizumonogatari Part 1: Tekketsu,7.4,,64 min,(2016),3351
242c,Sword of the Stranger,7.8,Not Rated,103 min,(2007),17578
243c,The Iceblade Sorcerer Shall Rule the World,6.2,TV-14,,(2023),465
244c,Dragon Ball Z: Revival Fusion,7.6,PG,51 min,(1995),11503
245c,Battle of the Planets,7.6,TV-Y7,30 min,(1978–1980),2128
246c,Sword Art Online the Movie: Ordinal Scale,7.3,TV-14,119 min,(2017),8611
247c,Flavors of Youth,6.6,TV-PG,74 min,(2018),8072
248c,Robotech,8.5,TV-Y7,30 min,(1985),3860
249c,A Certain Magical Index,6.8,TV-14,23 min,(2008–2019),2156
250c,My Neighbors the Yamadas,7.1,PG,104 min,(1999),15025
251c,Fullmetal Alchemist the Movie: Conqueror of Shamballa,7.3,PG-13,105 min,(2005),11833
252c,Btooom!,7.1,TV-MA,25 min,(2012),4451
253c,Promare,7.0,PG-13,111 min,(2019),4786
254c,Urusei Yatsura,7.0,TV-14,25 min,(2022– ),427
255c,Free!,7.4,TV-PG,24 min,(2013– ),3399
256c,Beyblade Burst,6.8,TV-Y7,24 min,(2016– ),703
257c,Fist of the North Star,7.1,Not Rated,110 min,(1986),7073
258c,Dead Leaves,7.1,Not Rated,55 min,(2004),4235
259c,The Deer King,6.4,R,113 min,(2021),751
260c,To Love-Ru - Darkness,7.0,TV-14,25 min,(2012–2017),1023
261c,Yuuna and the Haunted Hot Springs,6.8,TV-14,24 min,(2018– ),631
262c,Panty & Stocking with Garterbelt,7.3,TV-MA,23 min,(2010– ),2732
263c,Ikki tousen,5.9,TV-MA,325 min,(2003– ),1233
264c,Appleseed,6.9,R,101 min,(2004),18338
265c,Chillin' in My 30s after Getting Fired from the Demon King's Army,6.7,TV-14,23 min,(2023),453
266c,Robot Carnival,6.8,Unrated,90 min,(1987 Video),2755
267c,The Hidden Dungeon Only I Can Enter,6.4,TV-14,24 min,(2021),1805
268c,"WataMote: No Matter How I Look at It, It's You Guys' Fault I'm Not Popular!",7.2,TV-14,25 min,(2013),2301
269c,Handyman Saitou in another world,7.0,TV-14,23 min,(2023),502
270c,Zombieland Saga,7.1,TV-MA,24 min,(2018– ),1316
271c,Appleseed Alpha,6.5,PG-13,93 min,(2014),8676
272c,A Place Further Than the Universe,8.2,,23 min,(2018),2537
273c,Yu-Gi-Oh!: The Movie - Pyramid of Light,4.9,PG,90 min,(2004),8854
274c,The Garden of Sinners: Overlooking View,7.0,,49 min,(2007),2596
275c,Immoral Guild,6.1,,,(2022),256
276c,Revenger,6.5,TV-MA,23 min,(2023– ),312
277c,Patlabor: The Movie,7.0,Unrated,100 min,(1989),5391
278c,Blood: The Last Vampire,6.6,Not Rated,48 min,(2000),12991
279c,Tsuredure Children,7.3,TV-14,13 min,(2017– ),1992
