rank_id,title,show_type,rating,votes,runtime_minutes,episodes
215b,Maria Watches Over Us,TV,8.53,2027,half,13
216b,Bleach the Movie: Memories of Nobody,,7.40,2325,87,
217b,Escaflowne: The Movie,,6.75,2548,98,
218b,Afro Samurai,TV,7.05,2436,25,5
219b,Tenjho Tenge,TV,6.94,2460,23,24
220b,Utawarerumono,TV,7.88,2158,23,26
221b,Mobile Suit Gundam Seed Destiny,TV,7.42,2287,24,50
222b,Ah! My Goddess: The Movie,,7.81,2168,105,
223b,X,TV,7.63,2215,24,24
224b,Maid Sama!,TV,7.28,2321,24,26
225b,"She, The Ultimate Weapon",TV,7.59,2217,23,13
226b,,TV 2009 renewal,7.15,2344,25,14
227b,Deadman Wonderland,TV,7.46,2246,half,12
228b,Ghost Hunt,TV,7.85,2123,25,25
229b,Rurouni Kenshin: The Motion Picture,,7.34,2246,90,
230b,Bludgeoning Angel Dokuro-chan,TV,6.92,2363,13,8
231b,Ponyo on the Cliff by the Sea,movie,7.90,2058,101,
232b,Sayonara Zetsubou-sensei,TV,8.17,1985,half,12
233b,Oh My Goddess!,OAV,7.59,2133,half,5
234b,Bunny Drop,TV,8.75,1849,half,11
235b,Hell Girl,TV,7.52,2144,25,26
236b,Negima!,TV,7.07,2272,half,26
237b,Sword of the Stranger,movie,8.44,1897,102,
238b,InuYasha the Movie 2: The Castle Beyond the Looking Glass,,7.47,2124,100,
239b,Noein - to your other self,TV,7.95,1996,half,24
240b,Birdy the Mighty: Decode,TV,7.91,1993,half,13
241b,One Punch Man,TV,8.22,1917,,
242b,,TV,7.69,2042,25,26
243b,Metropolis,movie,7.37,2125,107,
244b,InuYasha the Movie: Affections Touching Across Time,,7.36,2127,100,
245b,Jin-Roh - The Wolf Brigade,movie,7.89,1984,101,
246b,Digimon Adventure,TV,6.75,2316,half,54
247b,,TV,7.63,2036,24,12
248b,A Certain Scientific Railgun,TV,7.49,2074,24,24
249b,Baka and Test - Summon the Beasts,TV,7.75,1987,24,13
250b,Myself; Yourself,TV,7.90,1944,23,13
251b,Vampire Knight Guilty,TV,7.76,1966,24,13
252b,Sekirei,TV,7.44,2046,half,12
253b,,TV,7.15,2119,25,26
254b,Getbackers,TV,7.59,1996,26,49
255b,Fushigi Yugi,TV,7.54,2005,25,52
256b,,movie series,8.67,1743,,
257b,Heroic Age,TV,7.82,1933,25,26
258b,Kill la Kill,TV,8.19,1835,24,24
259b,Wolf's Rain,OAV,8.21,1827,half,4
260b,,TV,7.63,1965,24,13
261b,Lupin III: The Castle of Cagliostro,movie,8.20,1808,100,
262b,Corpse Princess: Kuro,TV,7.92,1868,24,13
263b,Buso Renkin,TV,7.37,1996,25,26
264b,Hikaru no Go,TV,8.17,1786,23,75
265b,Samurai Deeper Kyo,TV,7.20,2020,24,26
266b,Ghost in the Shell: Stand Alone Complex: Solid State Society,movie,8.31,1745,105,
267b,Vampire Hunter D,OAV,7.02,2066,80,1
268b,Hajime no Ippo,TV,8.74,1654,24,76
269b,Cat Planet Cuties,TV,7.66,1874,24,12
270b,Case Closed,TV,7.56,1900,25,
271b,InuYasha the Movie 3: Swords of an Honorable Ruler,,7.78,1842,98,
272b,Vandread: The Second Stage,TV,7.45,1919,23,13
273b,True Tears,TV,7.46,1915,24,13
274b,K-ON!!,TV 2,7.67,1844,24,26
275b,Rideback,TV,7.82,1803,half,12
276b,Guilty Crown,TV,7.29,1919,half,22
277b,Gosick,TV,8.26,1693,24,24
278b,DearS,TV,6.76,2065,24,12
279b,Suzuka,TV,7.40,1871,half,26
280b,Rosario + Vampire Capu2,TV,7.33,1888,half,13
281b,Magical Shopping Arcade Abenobashi,TV,7.42,1859,24,13
282b,"No Game, No Life",TV,8.17,1678,24,12
283b,Ah! My Goddess: Flights of Fancy,TV,7.88,1739,24,24
284b,Gravitation,TV,7.46,1833,22,13
285b,Martian Successor Nadesico,TV,7.76,1762,22,26
286b,Tenchi Muyo!,OAV 1/1992,7.91,1727,30,6
287b,Mobile Suit Gundam Wing: Endless Waltz,OAV,7.59,1793,30,3
288b,Fate/Zero,TV 2,8.39,1621,23,12
289b,My-Otome,TV,7.63,1783,half,26
290b,Hayate the Combat Butler,TV,7.88,1727,25,52
291b,Crest of the Stars,TV,8.04,1691,25,13
292b,Blassreiter,TV,7.71,1761,half,24
293b,Angelic Layer,TV,7.34,1844,24,26
293b,Black Blood Brothers,TV,7.04,1923,half,12
293b,Devil May Cry,TV,6.85,1976,half,12
296b,Please Teacher!,OAV,7.48,1802,21,1
297b,,TV,7.50,1795,24,12
298b,Natsume's Book of Friends,TV,8.41,1601,half,13
299b,Birdy the Mighty Decode:02,TV,8.10,1661,24,12
300b,Macross Frontier,TV,8.35,1593,26,25
301b,Yakitate!! Japan,TV,7.02,1884,25,69
302b,Casshern Sins,TV,7.63,1732,24,24
303b,Last Order Final Fantasy VII,OAV,7.37,1786,25,1
