rank,title,rating,show_type,episodes,run_time,member_count
353,Bakuman.,8.19,TV,25,Oct 2010 - Apr 2011,604467
354,Bungou Stray Dogs 2nd Season,8.19,TV,12,Oct 2016 - Dec 2016,804968
355,Fate/stay night: Unlimited Blade Works,8.19,TV,12,Oct 2014 - Dec 2014,1028174
356,Little Busters! Refrain,8.19,TV,13,Oct 2013 - Dec 2013,162261
357,Liz to Aoi Tori,8.19,Movie,1,Apr 2018 - Apr 2018,129911
358,Maison Ikkoku,8.19,TV,96,Mar 1986 - Mar 1988,69240
359,Major S2,8.19,TV,26,Dec 2005 - Jun 2006,69975
360,Major S4,8.19,TV,26,Jan 2008 - Jun 2008,63744
361,No Game No Life: Zero,8.19,Movie,1,Jul 2017 - Jul 2017,835669
362,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.19,Special,1,Aug 2013 - Aug 2013,59127
363,Senki Zesshou Symphogear XV,8.19,TV,13,Jul 2019 - Sep 2019,37383
364,Stand By Me Doraemon 2,8.19,Movie,1,Nov 2020 - Nov 2020,21288
365,xxxHOLiC Rou,8.19,OVA,2,Apr 2010 - Mar 2011,67457
366,Yojouhan Time Machine Blues,8.19,ONA,6,Sep 2022 - Oct 2022,35428
367,Yoru wa Mijikashi Arukeyo Otome,8.19,Movie,1,Apr 2017 - Apr 2017,119370
368,Wu Liuqi: Zui Qiang Fa Xing Shi,8.18,ONA,10,Oct 2019 - Jan 2020,66470
369,Ballroom e Youkoso,8.18,TV,24,Jul 2017 - Dec 2017,318004
370,Chihayafuru,8.18,TV,25,Oct 2011 - Mar 2012,445079
371,Girls & Panzer Movie,8.18,Movie,1,Nov 2015 - Nov 2015,101684
372,Higurashi no Naku Koro ni Kai,8.18,TV,24,Jul 2007 - Dec 2007,467246
373,Hunter x Hunter: Greed Island,8.18,OVA,8,Feb 2003 - Apr 2003,150671
374,Jigokuraku,8.18,TV,13,Apr 2023 - Jul 2023,490885
375,JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.18,ONA,12,Dec 2021 - Dec 2021,454443
376,Non Non Biyori Repeat,8.18,TV,12,Jul 2015 - Sep 2015,194028
377,Paripi Koumei,8.17,TV,12,Apr 2022 - Jun 2022,266872
378,Quanzhi Gaoshou Specials,8.17,ONA,3,Apr 2018 - May 2018,102355
379,Toaru Kagaku no Railgun T,8.17,TV,25,Jan 2020 - Sep 2020,220503
380,Aria the Natural,8.17,TV,26,Apr 2006 - Sep 2006,76748
381,Black Lagoon: The Second Barrage,8.17,TV,12,Oct 2006 - Dec 2006,498104
382,Detective Conan,8.17,TV,?,Jan 1996 -,335908
383,Detective Conan Movie 20: The Darkest Nightmare,8.17,Movie,1,Apr 2016 - Apr 2016,39509
384,Digimon Adventure: Last Evolution Kizuna,8.17,Movie,1,Feb 2020 - Feb 2020,40770
385,Dr. Stone: New World,8.17,TV,11,Apr 2023 - Jun 2023,360071
386,Dr. Stone: Stone Wars,8.17,TV,11,Jan 2021 - Mar 2021,968946
387,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.17,Movie,1,Oct 2017 - Oct 2017,433224
388,Girls & Panzer: Saishuushou Part 3,8.17,Movie,1,Mar 2021 - Mar 2021,23569
389,K-On!!,8.17,TV,26,Apr 2010 - Sep 2010,670534
390,Akira,8.16,Movie,1,Jul 1988 - Jul 1988,808498
391,Buddy Daddies,8.16,TV,12,Jan 2023 - Apr 2023,213983
392,Cardcaptor Sakura,8.16,TV,70,Apr 1998 - Mar 2000,421883
393,Dragon Ball Super: Broly,8.16,Movie,1,Dec 2018 - Dec 2018,374784
394,Dragon Ball Z,8.16,TV,291,Apr 1989 - Jan 1996,1180257
395,Initial D Fourth Stage,8.16,TV,24,Apr 2004 - Feb 2006,174715
396,Initial D Second Stage,8.16,TV,13,Oct 1999 - Jan 2000,204073
397,Made in Abyss Movie 1: Tabidachi no Yoake,8.16,Movie,1,Jan 2019 - Jan 2019,119266
398,Noragami Aragoto,8.16,TV,13,Oct 2015 - Dec 2015,1407214
399,Ouran Koukou Host Club,8.16,TV,26,Apr 2006 - Sep 2006,1084774
400,Skip to Loafer,8.16,TV,12,Apr 2023 - Jun 2023,180046
401,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.16,Movie,1,Sep 2008 - Sep 2008,158801
402,Yuukoku no Moriarty,8.16,TV,11,Oct 2020 - Dec 2020,391654
403,Death Parade,8.15,TV,12,Jan 2015 - Mar 2015,1695583
404,Eiga Daisuki Pompo-san,8.15,Movie,1,Jun 2021 - Jun 2021,33665
405,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,8.15,Movie,4,Oct 2019 - Oct 2019,23703
406,Given: Uragawa no Sonzai,8.15,OVA,1,Dec 2021 - Dec 2021,79870
407,Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,8.15,ONA,1,Oct 2021 - Oct 2021,52699
408,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.15,OVA,1,Dec 2016 - Dec 2016,61743
409,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,8.15,Movie,1,Apr 2015 - Apr 2015,252739
410,Lupin III: Cagliostro no Shiro,8.15,Movie,1,Dec 1979 - Dec 1979,111604
411,Major: Message,8.15,OVA,1,Dec 2010 - Dec 2010,29785
412,Shokugeki no Souma,8.15,TV,24,Apr 2015 - Sep 2015,1590005
413,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,8.14,Movie,1,Jan 2021 - Jan 2021,32844
414,Nisemonogatari,8.14,TV,11,Jan 2012 - Mar 2012,713034
415,Nodame Cantabile: Paris-hen,8.14,TV,11,Oct 2008 - Dec 2008,121964
416,Non Non Biyori Nonstop: Bukatsu wo Ganbatta,8.14,OVA,1,Mar 2022 - Mar 2022,17669
417,One Piece Film: Z,8.14,Movie,1,Dec 2012 - Dec 2012,266539
418,Tensei shitara Slime Datta Ken,8.14,TV,24,Oct 2018 - Mar 2019,1346529
419,Working!!! Lord of the Takanashi,8.14,Special,1,Mar 2016 - Mar 2016,100261
420,Black Clover,8.14,TV,170,Oct 2017 - Mar 2021,1561846
421,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,8.14,Movie,1,Mar 2011 - Mar 2011,13744
422,Gankutsuou,8.14,TV,24,Oct 2004 - Mar 2005,241573
423,Given Movie,8.14,Movie,1,Aug 2020 - Aug 2020,221305
424,Golden Kamuy 4th Season,8.14,TV,13,Oct 2022 - Jun 2023,80999
425,Haikyuu!! Movie 3: Sainou to Sense,8.14,Movie,1,Sep 2017 - Sep 2017,81293
426,Hinamatsuri (TV),8.14,TV,12,Apr 2018 - Jun 2018,489300
427,IDOLiSH7 Second Beat!,8.14,TV,15,Apr 2020 - Dec 2020,29199
428,Kaiba,8.14,TV,12,Apr 2008 - Jul 2008,146154
429,Black Clover: Mahou Tei no Ken,8.13,Movie,1,Jun 2023 - Jun 2023,177725
430,Eizouken ni wa Te wo Dasu na!,8.13,TV,12,Jan 2020 - Mar 2020,320557
431,Katekyo Hitman Reborn!,8.13,TV,203,Oct 2006 - Sep 2010,544927
432,Lupin III: Part 5,8.13,TV,24,Apr 2018 - Sep 2018,42439
